Property_ID,Property,Region,Pmt No,Payment Date,Helper Date,Month,Year,Beginning Balance,Scheduled Payment,Total Payment,Principal,Interest,Ending Balance
1016,JEHK LLC - Consolidated,Kansas,1,4/1/2022,3/31/2022,March,2022,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,2,5/1/2022,4/30/2022,April,2022,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,3,6/1/2022,5/31/2022,May,2022,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,4,7/1/2022,6/30/2022,June,2022,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,5,8/1/2022,7/31/2022,July,2022,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,6,9/1/2022,8/31/2022,August,2022,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,7,10/1/2022,9/30/2022,September,2022,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,8,11/1/2022,10/31/2022,October,2022,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,9,12/1/2022,11/30/2022,November,2022,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,10,1/1/2023,12/31/2022,December,2022,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,11,2/1/2023,1/31/2023,January,2023,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,12,3/1/2023,2/28/2023,February,2023,"1,037,329.33","6,562.66","3,889.98",-,"3,889.98","1,037,329.33"
1016,JEHK LLC - Consolidated,Kansas,13,4/1/2023,3/31/2023,March,2023,"1,037,329.33","6,562.66","6,562.66","2,672.67","3,889.98","1,034,656.66"
1016,JEHK LLC - Consolidated,Kansas,14,5/1/2023,4/30/2023,April,2023,"1,034,656.66","6,562.66","6,562.66","2,682.70","3,879.96","1,031,973.96"
1016,JEHK LLC - Consolidated,Kansas,15,6/1/2023,5/31/2023,May,2023,"1,031,973.96","6,562.66","6,562.66","2,692.76","3,869.90","1,029,281.21"
