Property_ID,Property,City,State,Property Type,Owner
1001,1340 Burlington LLC,North Kansas City,Kansas,Commercial,multiple
1002,1440 NKC LLC,North Kansas City,Kansas,Commercial,multiple
1003,165 Partners LLC,Branson,Branson,Commercial,multiple
1004,4011 Jackson LLC,North Kansas City,Kansas,Commercial,multiple
1005,4306 Mattox LLC,Riverside,Branson,Commercial,multiple
1006,AMD Partners LLC,North Kansas City,Kansas,Commercial,multiple
1007,Bonner 7 LLC,Bonner Springs,Kansas,Commercial,multiple
1008,Broadway 6970 LLC,North Kansas City,Kansas,Commercial,multiple
1009,Cottage Holdings LLC,Branson,Branson,Commercial,multiple
1010,Danner Capital Management LLC,North Kansas City,Kansas,Commercial,multiple
1011,DT&D LLC - Consolidated,North Kansas City,Kansas,Commercial,DT&D LLC
1012,DT&D LLC - GMD,Branson,Branson,Commercial,DT&D LLC
1013,DT&D LLC - Warehouse,Branson,Branson,Commercial,DT&D LLC
1014,GH14 LLC,North Kansas City,Kansas,Commercial,multiple
1015,High Oaks Ct LLC,Branson,Branson,Commercial,multiple
1016,JEHK LLC - Consolidated,North Kansas City,Kansas,Commercial,multiple
1017,JEHK LLC - NKC,North Kansas City,Kansas,Commercial,JEHK LLC
1018,Marmaros LLC,North Kansas City,Kansas,Commercial,multiple
1019,MVM Holdings LLC,Branson,Branson,Commercial,Alexander Danner
1020,NKC 13th Ave LLC,North Kansas City,Kansas,Commercial,multiple
1021,NKC AAD LLC,North Kansas City,Kansas,Commercial,multiple
1022,PCVT LLC,Branson,Branson,Commercial,multiple
1023,Spindletop LLC,North Kansas City,Kansas,Apartment,Spindletop LLC
1024,State 7 LLC,Kansas City ,Kansas,Commercial,multiple
1025,Taney Holdings II LLC,Branson,Branson,Commercial,multiple
1026,Taney Holdings I LLC,Branson,Branson,Commercial,multiple
1027,Twenty Two Eleven LLC,North Kansas City,Kansas,Commercial,multiple
1028,Windfield Design Build LLC,North Kansas City,Kansas,Apartment,multiple
1029,Windfield LLC,North Kansas City,Kansas,Apartment,multiple
1030,Windfield Real Estate LLC,North Kansas City,Kansas,Commercial,multiple
1031,CSV LP,North Kansas City,Kansas,Commercial,multiple
1032,SW 5 LLC,North Kansas City,Kansas,Commercial,multiple
1033,SW 6 LLC,North Kansas City,Kansas,Commercial,multiple
1034,SW 8 LLC,North Kansas City,Kansas,Commercial,multiple
1035,D4 partners LLC,Kansas City ,Kansas,Commercial,multiple
1036,LSV LP,North Kansas City,Kansas,Commercial,"LSV, LP"
1037,Highlands 234,,,,
1038,Center SW LLC,Centerton,Kansas,Commercial,multiple
1039,SWFS LLC,North Kansas City,Kansas,Commercial,multiple
1040,BSV LP,North Kansas City,Kansas,Apartment,multiple
1041,SW Spring LLC,North Kansas City,Kansas,Commercial,multiple
1042,Taney Holdings - Consolidated,Branson,Branson,Commercial,multiple
